event eta phi energy
0 -1.7 -1.2 116.485
0 -1.8 -1.3 98.5059
0 -1.8 -1.5 67.8239
0 -1.4 -1.3 51.5944
0 -1.9 -1.1 30.916
0 -1.8 -1.4 36.3513
0 -1.8 -1 64.3351
0 -1.8 -0.7 34.1247
0 -1.8 -0.9 74.8865
0 -1.9 -1.4 66.7675
0 -2 -1.2 44.8783
0 -1.9 -1.3 35.2424
0 -1.6 -1.2 4.73152
0 -1.9 -1 22.2799
0 -1.8 -1.1 33.9794
0 -1.9 -0.9 58.6491
0 -1.4 -0.5 91.0094
0 -1.2 -0.5 101.641
0 -1.3 -0.4 11.8933
0 -1.7 -0.5 27.7594
0 -1.6 -0.5 1.39029
0 -1.5 -0.6 37.6809
0 -1.5 -0.4 4.29025
0 -1.7 -0.6 33.7822
0 -1.3 -0.5 62.3555
0 -1.4 -0.7 21.8337
0 -1.5 -0.8 5.0407
0 -1.3 -0.2 30.1904
0 -1.4 -0.3 33.6701
0 -1.2 -0.4 34.9374
0 -1.2 -1 44.7721
1 -1.7 -0.2 106.824
1 -1.8 -0.3 101.095
1 -1.6 -0.2 39.0734
1 -1.7 0 69.3127
1 -1.5 -0.2 55.4297
1 -1.6 -0.3 39.3997
1 -1.6 -0.1 36.4011
1 -1.7 -0.4 10.8335
1 -2 -0.2 15.57
1 -1.8 -0.1 9.08789
1 -1.7 0.1 68.5033
1 -1.6 -0.4 45.5424
1 -1.4 0.1 46.1102
1 -2.3 -2.1 99.5122
1 -2.3 -2 120.878
1 -2.2 -2.1 36.0297
1 -2.1 -2.1 48.4066
1 -2.2 -2.2 39.8766
1 -2.2 -2.5 46.8934
1 -2.1 -2.2 46.2683
1 -2 -2 59.3908
1 -2.4 -2.1 22.5778
1 -2.4 -2.2 62.7173
1 -2.5 -2 68.7778
1 -2.2 -2.3 45.2148
1 -2.5 -2.4 58.5955
1 -2.3 -2.2 68.9675
2 -1.3 2.7 84.3717
2 -1.4 2.8 87.436
2 -1.4 2.5 43.8226
2 -1.4 2.6 29.2747
2 -1.5 2.7 35.5266
2 -1.3 2.4 45.0488
2 -1.4 2.4 25.4495
2 -1.3 2.5 28.7328
2 -1.3 3.1 33.3281
2 -1.1 2.6 83.2489
2 -1.3 2.6 24.5478
2 -1.2 2.7 41.3312
2 -1.7 2.8 10.2914
2 -1.6 2.6 47.6204
2 -1.2 2.6 56.9427
2 -1.8 -2 61.1681
2 -1.5 -2 71.9257
2 -2.1 -2.2 39.1519
2 -1.8 -1.9 52.4405
2 -1.9 -2.1 22.9314
2 -1.9 -2 51.6312
2 -1.8 -2.1 12.8423
2 -1.7 -2.3 31.743
2 -1.9 -1.8 68.1258
2 -1.7 -2.2 41.877
2 -1.5 -2.1 65.5298
2 -2.1 -2.1 35.2382
2 -1.7 -2.4 51.2164
2 -2.2 -2.2 54.846
2 -1.6 -2.2 72.3718
2 -1.4 -1.9 45.9736
2 -1.8 -2.6 32.9309
3 -0.9 2.5 133.347
3 -1 2.5 113.597
3 -0.9 2.4 25.9658
3 -0.8 2.5 27.9836
3 -0.9 2.6 60.3338
3 -1 2.4 53.9502
3 -1.2 2.4 5.4688
3 -0.9 2.7 71.3891
3 -1 2.6 47.1569
3 -0.9 2.3 59.149
3 -0.8 2.6 24.2238
3 -0.7 2.6 7.83825
3 -0.8 2.4 24.7669
3 -0.9 2.2 58.5911
3 -1 2.3 52.8365
3 -1.2 2.5 7.32763
3 2.3 0.1 132.445
3 2.2 0.3 126.524
3 2.3 0.2 46.3437
3 2.3 0.6 24.8086
3 2.2 0.1 23.0815
3 2.2 0.2 18.3079
3 2.1 0.2 45.2412
3 2.3 0.3 32.876
3 2.1 0.1 46.4677
3 2.4 0.1 50.3173
3 2.1 0.4 56.3226
3 2.3 0 57.5691
3 2.5 0.1 48.0278
3 2.3 0.7 17.1604
3 2.5 0.3 40.915
3 2.4 0.4 23.6969
4 0.3 1.7 106.864
4 0.1 1.8 88.1145
4 0.2 1.8 52.5896
4 0.2 1.7 13.0936
4 0.1 1.7 39.9201
4 0.3 1.8 20.8288
4 0 1.9 42.5953
4 0.2 1.9 54.7601
4 0.1 1.9 76.6455
4 0.2 1.6 36.5449
4 0.6 1.7 53.2133
4 0.3 1.9 21.9562
4 0.3 1.6 47.689
4 0.3 1.5 8.4433
4 0.2 1.1 52.7929
4 0.1 1.6 31.6141
4 0.6 -1.2 117.512
4 0.7 -1 102.722
4 0.6 -1.3 52.7132
4 0.4 -1.1 27.6661
4 0.5 -1 49.6708
4 0.7 -1.2 52.846
4 0.8 -1 71.1647
4 0.6 -1 67.2872
4 0.5 -1.3 42.0558
4 0.6 -1.1 26.2624
4 0.4 -1.2 36.6018
4 0.3 -1.2 39.6057
4 0.4 -1 0.828583
4 0.5 -1.2 7.81787
4 0.5 -1.1 62.4278
5 0.8 -1.3 107.701
5 0.9 -1.3 91.1587
5 0.8 -1.4 64.7901
5 1.1 -1.5 68.4066
5 0.9 -1.5 61.4977
5 0.9 -1.4 21.75
5 0.9 -1.6 26.9589
5 1 -1.3 55.4158
5 1 -1.6 45.9386
5 0.7 -1.4 54.641
5 0.8 -1.5 14.7645
5 1 -1.5 21.6519
5 1 -1.4 25.2858
5 0.9 -1.2 49.3299
5 1.1 -1.4 71.0208
5 0.9 -1 23.4282
5 0.6 -1.3 14.3128
5 0.5 -0.9 112.85
5 0.6 -0.8 104.146
5 0.5 -1.1 35.7501
5 0.1 -1.1 42.5711
5 0.5 -0.8 29.8668
5 0.3 -1 32.7484
5 0.4 -1 43.4585
5 0.3 -1.2 59.7962
5 0.3 -1.1 28.481
5 0.6 -0.9 44.8403
5 0.2 -1 49.428
5 0.5 -1 39.0909
6 -1.1 -1.9 62.03
6 -1.1 -1.8 92.1118
6 -1.2 -1.8 55.7799
6 -1 -1.7 45.2812
6 -1 -1.8 19.7493
6 -1.2 -1.9 70.9391
6 -1.2 -1.7 3.11112
6 -1 -2 44.3774
6 -1.2 -2.1 24.413
6 -0.9 -1.8 45.7755
6 -1 -1.6 46.9125
