event eta phi energy
0 -1.7 -1.2 116.485
0 -1.8 -1.3 98.5059
0 -1.8 -1.5 67.8239
0 -1.4 -1.3 51.5944
0 -1.9 -1.1 30.916
0 -1.8 -1.4 36.3513
0 -1.8 -1 64.3351
0 -1.8 -0.7 34.1247
0 -1.8 -0.9 74.8865
0 -1.9 -1.4 66.7675
0 -2 -1.2 44.8783
0 -1.9 -1.3 35.2424
0 -1.6 -1.2 4.73152
0 -1.9 -1 22.2799
0 -1.8 -1.1 33.9794
0 -1.9 -0.9 58.6491
0 -2.1 -1.2 33.3616
0 -2.1 -1.4 27.7594
0 -2.2 -1.2 28.0808
0 -2.1 -1.3 33.7822
0 -1.6 -1 62.3555
0 -1.8 -1.7 58.7803
0 -1.4 -1 77.0298
0 -1.6 -1.5 26.8617
0 -2 -1.5 57.3972
0 -1.6 -1.1 23.1393
0 -1.5 -1.2 39.3059
0 -2.1 -1 40.0014
0 -2.2 -1.4 45.7504
0 -1.3 -1.1 45.5857
0 -1.4 -1.1 57.2045
0 -0.8 2.7 80.0621
0 -0.9 2.7 108.493
0 -0.9 2.8 11.3058
0 -0.7 2.8 94.1533
0 -0.6 2.7 14.2994
0 -0.5 2.7 49.3719
0 -0.6 2.8 50.318
0 -0.7 2.6 34.4348
0 -0.7 2.9 48.6789
0 -0.7 2.7 51.0604
0 -0.8 2.6 82.0434
0 -0.8 2.2 64.9007
0 -0.6 2.6 54.7643
0 -1 2.7 19.723
0 -0.5 2.8 27.604
0 -0.9 2.9 6.95436
0 -0.7 2.3 57.3652
0 -0.8 2.8 42.0039
0 -0.7 2.5 49.997
0 -1 2.8 38.385
0 -0.6 3.1 47.1446
0 -0.7 2.4 46.6262
0 -0.7 3 64.2307
0 -0.8 3.1 64.8289
0 -0.5 2.5 65.8303
0 -0.9 2.5 56.639
0 -0.5 2.6 28.5761
0 -0.8 2.9 33.2085
0 -0.4 2.7 14.1714
0 -0.8 3 59.3976
0 -0.8 2.5 18.2065
0 1.1 0.8 96.1524
0 1.2 0.7 69.9237
0 0.8 0.6 25.1477
0 1 0.7 30.3533
0 1.3 0.8 38.0191
0 1.1 0.7 43.1761
0 1 0.6 47.7171
0 0.9 0.8 24.6696
0 1.2 0.6 64.4069
0 1.1 0.9 24.177
0 1.2 0.8 35.2779
0 1.4 0.8 39.7974
0 1.1 0.5 39.4671
0 1 0.8 63.8485
0 1 0.5 47.884
0 1.4 0.7 54.9075
0 0.9 0.7 11.1435
0 1 0.3 49.4555
0 1 0.9 14.5851
0 1.2 1.1 61.52
0 1.3 0.7 20.5673
0 1.1 0.6 24.5388
0 1.4 0.6 43.6858
0 1.3 0.6 37.0502
0 0.9 0.3 65.9043
0 1.7 0.6 42.2296
0 0.9 0.5 33.604
0 1.4 0.3 48.7288
0 1.4 0.9 16.2767
0 -2.3 1.2 108.533
0 -2.6 1.4 91.5054
0 -2.2 1.2 82.6606
0 -2.1 1.3 38.4997
0 -2 1.3 15.5001
0 -2.2 1.3 53.1685
0 -2.1 1.2 53.263
0 -2.1 1 86.241
0 -2.5 1.2 36.8177
0 -2.1 1.4 33.3022
0 -2 1.4 55.5032
0 -2.1 1.6 30.7796
0 -2 1.2 31.0397
0 -2 1.1 37.6636
0 -2.4 1.5 39.6649
0 -2 1 0.406241
0 -2.4 1.4 85.958
0 -2.6 1.2 41.7453
0 -2.2 1 21.5352
0 -2.5 1 16.9498
0 -2.4 1.6 64.1093
0 -2.1 0.7 40.701
0 -2.1 1.1 73.4409
0 -2.2 1.8 42.836
0 -1.8 1.1 40.7922
0 -1.8 1.4 47.2359
0 -2.6 1.3 17.435
0 -2.7 1.3 57.6469
0 -2 0.9 65.7149
0 -1.9 1.7 127.241
0 -1.8 1.9 96.5168
0 -1.9 1.9 28.3508
0 -1.9 2.1 23.9291
0 -2.2 2.1 23.2754
0 -1.8 1.8 50.5502
0 -2 2 53.2308
0 -1.9 1.8 56.1456
0 -1.8 2 38.2865
0 -2 1.6 22.4934
0 -2.1 1.8 16.4842
0 -2 2.2 20.3456
0 -1.6 2 51.8846
0 -2.3 2 39.2539
0 -2.1 1.7 3.65947
0 -1.8 1.7 32.9359
0 -1.7 2.2 58.0716
0 -2.2 2 36.2392
0 -1.7 1.6 13.2021
0 -2.2 1.9 37.0094
0 -1.8 2.1 36.43
0 -1.2 1.4 26.007
0 -2.1 2 43.688
0 -1.6 1.9 35.0741
0 -1.6 2.1 61.9515
0 -1.4 1.9 59.0845
0 -1.8 1.5 41.7798
0 -1.5 1.6 53.7405
0 -2.1 2.1 62.0603
0 -2.3 2.1 69.2431
0 -1.2 1.7 71.3015
0 -1.3 1.4 88.9552
0 -1.4 1.4 14.844
0 -1.1 1.4 51.9795
0 -1.1 1.2 20.9038
0 -0.9 1.4 81.325
0 -0.9 1.5 14.5612
0 -1.3 1.2 45.0681
0 -1.3 1.6 20.6076
0 -1.2 1.1 41.1742
0 -1.2 1.3 50.0958
0 -1.1 1.5 28.7058
0 -1.1 1.3 59.4295
0 -1 1.4 31.0228
0 -1.5 1.3 77.4016
0 -0.9 1.3 46.3976
0 -1 1.5 1.0858
0 -0.8 1.3 53.4652
0 -1.3 1.5 25.7005
0 -1.2 1.6 36.8199
0 -1.1 1.6 45.2729
0 -1.3 1.3 42.5179
0 -1.4 1 42.2406
0 -1 1.9 41.1973
0 -1.1 1.7 38.0631
0 -1.3 1.7 56.0964
0 -0.7 1.5 51.9213
0 -1.4 1.8 54.3978
0 -1.2 1.2 54.4243
0 -1.2 0.9 59.3627
0 2.4 -0.6 73.802
0 2.4 -0.9 136.056
0 2.5 -0.9 52.2854
0 2.3 -0.7 58.3771
0 2.7 -1 14.4876
0 2.5 -1 27.0324
0 2.6 -1.1 71.7425
0 2.7 -1.1 45.913
0 2.6 -0.7 45.454
0 2.5 -1.1 52.3989
0 2.3 -0.6 44.914
0 2.5 -0.5 27.108
0 2.3 -0.8 7.30325
0 2.8 -1.2 47.8907
0 2.4 -1 68.5033
0 2.9 -1.2 13.0528
0 2.6 -1.2 76.0488
